hour,dur,dist,delay_gm
0,301.87836,2314.8867,2.1734567
1,291.65512,2315.8296,2.0989966
2,286.21231,2316.0149,2.0596609
3,283.62717,2317.0215,2.0401707
4,286.53888,2316.9509,2.061178
5,299.00763,2318.8044,2.1491508
6,322.54437,2317.4998,2.319629
7,379.61621,2319.5461,2.7276616
8,467.70151,2323.6531,3.3546424
9,536.94891,2330.8513,3.8394334
10,545.27679,2331.8616,3.8972924
11,526.94128,2331.7302,3.766454
12,511.58603,2333.2346,3.6543405
13,485.87479,2330.511,3.4747372
14,454.75882,2326.019,3.2584918
15,467.42703,2329.7021,3.3439684
16,501.36307,2329.9497,3.5863655
17,527.11407,2328.8364,3.7723708
18,574.97003,2329.2539,4.1141214
19,615.04852,2335.4146,4.3892889
20,568.67792,2333.2981,4.0620465
21,484.76392,2322.0884,3.4793675
22,401.33575,2320.6899,2.882302
23,340.12527,2317.3157,2.446259
